period_date,isin,inflow_count,outflow_count,inflow_amount,outflow_amount
2025-01-02,EE3600098612,38,86,488032.7,753685.8
2025-01-02,EE3600103248,914,1779,9196322.76,17395144.48
2025-01-02,EE3600103503,4186,1957,53758721.13,16786673.8
2025-01-02,EE3600109393,3032,994,23694294.38,5085242.0
2025-01-02,EE3600109401,611,840,6223645.35,3663024.01
2025-01-02,EE3600109427,1534,949,15631815.66,3651038.72
2025-01-02,EE3600109435,2404,402,30724789.02,3741294.6
2025-01-02,EE3600109443,104,111,1410510.5,732748.83
2025-05-02,EE3600001699,952,677,7915381.01,5424535.53
2025-05-02,EE3600001723,31,880,46647.18,3773737.48
2025-05-02,EE3600001806,93,39,966092.28,197221.6
2025-05-02,EE3600001814,742,568,7080551.68,2512363.36
2025-05-02,EE3600001848,455,171,617214.74,199238.59
2025-05-02,EE3600019717,29,144,507877.48,1090791.97
2025-05-02,EE3600019725,184,1344,1368599.05,16110660.73
2025-05-02,EE3600019733,87,118,1176731.18,1078878.6
2025-05-02,EE3600019741,317,393,3647823.52,5613390.27
2025-05-02,EE3600019758,653,1315,8291850.57,17333057.76
2025-05-02,EE3600019766,2838,2250,15230298.85,17973334.54
2025-05-02,EE3600019774,261,372,2247268.09,5488144.09
2025-05-02,EE3600019782,26,74,269910.17,496611.51
2025-05-02,EE3600019824,43,169,397431.54,1459846.79
2025-05-02,EE3600019832,1582,2785,13992711.93,41014312.74
2025-05-02,EE3600098430,188,652,2636083.12,8850667.69
2025-05-02,EE3600098448,20,80,302875.28,1074274.21
2025-05-02,EE3600098455,20,101,270322.78,746189.98
2025-05-02,EE3600098612,41,102,921503.11,732989.4
2025-05-02,EE3600103248,730,1533,7580930.98,13027578.46
2025-05-02,EE3600103503,3231,2387,40082703.21,19678891.22
2025-05-02,EE3600109393,2366,1040,17935261.09,4977763.5
2025-05-02,EE3600109401,786,797,6970696.19,3493959.37
2025-05-02,EE3600109427,1360,936,12895470.23,4090581.26
2025-05-02,EE3600109435,2336,392,26592701.42,3327044.69
2025-05-02,EE3600109443,81,133,923959.02,1102830.36
2025-09-01,EE3600001699,590,437,6378574.35,4465007.95
2025-09-01,EE3600001723,13,696,12162.14,3650982.82
2025-09-01,EE3600001806,117,71,1145521.72,165628.13
2025-09-01,EE3600001814,568,405,3806869.25,2438340.19
2025-09-01,EE3600001848,471,98,621669.56,187086.92
2025-09-01,EE3600019717,35,96,486624.81,873848.37
2025-09-01,EE3600019725,126,829,1247631.81,12394265.01
2025-09-01,EE3600019733,87,89,1435761.13,619090.4
2025-09-01,EE3600019741,318,275,4228856.78,4154189.99
2025-09-01,EE3600019758,500,920,6166977.63,14181520.47
2025-09-01,EE3600019766,548,1777,4800705.9,15648542.09
2025-09-01,EE3600019774,183,347,1522628.32,4904588.6
2025-09-01,EE3600019782,16,64,201413.31,539452.11
2025-09-01,EE3600019824,25,152,312764.42,1499003.61
2025-09-01,EE3600019832,589,2307,5355864.03,36481379.58
2025-09-01,EE3600098430,534,487,8265156.07,6956264.34
2025-09-01,EE3600098448,66,43,898616.33,375836.72
2025-09-01,EE3600098455,25,48,299863.54,378405.48
2025-09-01,EE3600098612,45,54,1009540.58,521064.7
2025-09-01,EE3600103248,610,1034,6911042.03,11540773.74
2025-09-01,EE3600103503,3331,1665,42211603.27,15844561.6
2025-09-01,EE3600109393,1709,582,13897406.17,4370247.49
